company_name,email,website,industry,location,contact_name,role
ABC Plumbing Services,info@abcplumbing.com,www.abcplumbing.com,Plumbing,Austin TX,John Smith,Owner
Sunset Auto Repair,contact@sunsetauto.net,sunsetauto.net,Automotive,Los Angeles CA,Maria Garcia,Manager
Green Leaf Landscaping,hello@greenleaflandscape.com,greenleaflandscape.com,Landscaping,Denver CO,Mike Johnson,Operations
City Dental Care,appointments@citydentalcare.org,citydentalcare.org,Healthcare,Chicago IL,Dr. Sarah Lee,Practice Owner
Quick Clean Services,service@quickclean.biz,quickclean.biz,Cleaning,Miami FL,Tom Wilson,CEO
Premier Real Estate,info@premierrealty.com,premierrealty.com,Real Estate,Phoenix AZ,Lisa Brown,Broker
Tech Solutions Inc,support@techsolutions.io,techsolutions.io,IT Services,Seattle WA,James Chen,CTO
Fitness First Gym,membership@fitnessfirst.com,fitnessfirst.com,Fitness,New York NY,Alex Turner,General Manager
Golden Gate Restaurant,reservations@goldengaterest.com,goldengaterest.com,Restaurant,San Francisco CA,Emma Davis,Owner
Mountain View HVAC,quotes@mountainviewhvac.com,mountainviewhvac.com,HVAC,Salt Lake City UT,Robert Miller,Service Manager
